pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,fgcc
341,2021-07-13,0,0,FLP271,FLIP,1,15,5,0.16069183994089928
342,2021-07-13,0,0,VVL100,Vavilov,1,15,6,0.05039630508102367
343,2021-07-13,0,0,FLP272,FLIP,1,15,7,0.09003764449671157
344,2021-07-13,0,0,VVL101,Vavilov,1,15,8,0.14651197914222283
365,2021-07-13,0,0,FLP285,FLIP,1,16,5,0.2124163683763423
366,2021-07-13,0,0,VVL106,Vavilov,1,16,6,0.11132234094433945
367,2021-07-13,0,0,FLP286,FLIP,1,16,7,0.20083995784343547
368,2021-07-13,0,0,FLP287,FLIP,1,16,8,0.16339797081511528
297,2021-07-13,0,0,VVL084,Vavilov,1,13,9,0.11070294501596932
298,2021-07-13,0,0,VVL085,Vavilov,1,13,10,0.08145222071951713
299,2021-07-13,0,0,FLP243,FLIP,1,13,11,0.1247271287631303
300,2021-07-13,0,0,FLP244,FLIP,1,13,12,0.0984077702239378
321,2021-07-13,0,0,VVL094,Vavilov,1,14,9,0.00361700723946617
322,2021-07-13,2,7.585085573831831e-4,VVL095,Vavilov,1,14,10,0.19529851726502256
323,2021-07-13,0,0,VVL096,Vavilov,1,14,11,0.15839643150046884
324,2021-07-13,0,0,FLP257,FLIP,1,14,12,0.11516127078915749
345,2021-07-13,0,0,FLP273,FLIP,1,15,9,0.08627820931649718
346,2021-07-13,0,0,FLP274,FLIP,1,15,10,0.1026673593356168
347,2021-07-13,0,0,FLP275,FLIP,1,15,11,0.11569785977523214
348,2021-07-13,0,0,INT038,Introgression,1,15,12,0.04223485284838205
369,2021-07-13,0,0,FLP288,FLIP,1,16,9,0.00414697167015718
370,2021-07-13,0,0,FLP289,FLIP,1,16,10,0.02926728568491128
371,2021-07-13,0,0,FLP290,FLIP,1,16,11,0.12606197667293328
372,2021-07-13,0,0,FLP291,FLIP,1,16,12,0.19331446292762303
301,2021-07-13,0,0,VVL086,Vavilov,1,13,13,0.16461026445032098
302,2021-07-13,0,0,FLP245,FLIP,1,13,14,0.07653348834716615
303,2021-07-13,0,0,FLP246,FLIP,1,13,15,0.11204441748115596
304,2021-07-13,0,0,FLP247,FLIP,1,13,16,0.17320562506059087
325,2021-07-13,0,0,FLP258,FLIP,1,14,13,0.10601938435973748
326,2021-07-13,3,0.00105330284462018,FLP259,FLIP,1,14,14,0.19088656337951984
327,2021-07-13,2,3.742858820275096e-4,VVL097,Vavilov,1,14,15,0.13042755867075054
328,2021-07-13,0,0,VVL098,Vavilov,1,14,16,0.05314549556523331
349,2021-07-13,1,1.8548680879239412e-4,FLP276,FLIP,1,15,13,0.14950296589793524
350,2021-07-13,1,3.279141798294111e-4,FLP277,FLIP,1,15,14,0.16660425562079592
351,2021-07-13,2,5.332745752781332e-4,Howzat,Cultivar,1,15,15,0.1198912033330748
352,2021-07-13,0,0,FLP278,FLIP,1,15,16,0.17742215456227625
373,2021-07-13,0,0,FLP292,FLIP,1,16,13,0.16343109359203345
374,2021-07-13,0,0,FLP293,FLIP,1,16,14,0.1739873225958601
375,2021-07-13,0,0,FLP294,FLIP,1,16,15,0.1476679640566676
376,2021-07-13,0,0,VVL107,Vavilov,1,16,16,0.0323112688836928
305,2021-07-13,0,0,FLP248,FLIP,1,13,17,0.19121779114870172
306,2021-07-13,0,0,FLP249,FLIP,1,13,18,0.09846739122239052
307,2021-07-13,0,0,FLP250,FLIP,1,13,19,0.1425736809666502
308,2021-07-13,0,0,VVL087,Vavilov,1,13,20,0.11142833383047764
329,2021-07-13,0,0,FLP260,FLIP,1,14,17,0.15477942426100263
330,2021-07-13,0,0,FLP261,FLIP,1,14,18,0.13694612116825
331,2021-07-13,1,1.6230095769334486e-4,FLP262,FLIP,1,14,19,0.09252847732095934
332,2021-07-13,1,5.829608008878209e-4,FLP263,FLIP,1,14,20,0.20249278441165303
353,2021-07-13,0,0,FLP279,FLIP,1,15,17,0.1178541525526062
354,2021-07-13,0,0,INT039,Introgression,1,15,18,0.04690516439384661
355,2021-07-13,0,0,FLP280,FLIP,1,15,19,0.0960560530627464
356,2021-07-13,3,0.00255045224604927,VVL102,Vavilov,1,15,20,0.1648619975548992
377,2021-07-13,0,0,FLP069,FLIP,1,16,17,0.14680014730141103
378,2021-07-13,0,0,FLP295,FLIP,1,16,18,0.01434216240557558
379,2021-07-13,4,9.539321595037412e-4,FLP296,FLIP,1,16,19,0.18680583726319905
380,2021-07-13,0,0,FLP297,FLIP,1,16,20,0.1597776512979573
309,2021-07-13,0,0,VVL088,Vavilov,1,13,21,0.17619661181630328
310,2021-07-13,0,0,VVL089,Vavilov,1,13,22,0.12248802904346076
311,2021-07-13,0,0,FLP251,FLIP,1,13,23,0.11628082064899226
312,2021-07-13,0,0,VVL090,Vavilov,1,13,24,0.03421251627879682
333,2021-07-13,0,0,FLP264,FLIP,1,14,21,7.94946646036522e-5
334,2021-07-13,0,0,FLP265,FLIP,1,14,22,0.12935769297629304
335,2021-07-13,0,0,FLP266,FLIP,1,14,23,0.12412429422321929
336,2021-07-13,0,0,VVL099,Vavilov,1,14,24,0.06282065870303614
357,2021-07-13,0,0,VVL103,Vavilov,1,15,21,0.195308454098098
358,2021-07-13,0,0,FLP281,FLIP,1,15,22,0.03673978415765459
359,2021-07-13,0,0,FLP282,FLIP,1,15,23,0.14261342829895204
360,2021-07-13,0,0,INT040,Introgression,1,15,24,0.05958125112043732
381,2021-07-13,0,0,FLP298,FLIP,1,16,21,0.05913409363204178
382,2021-07-13,0,0,VVL108,Vavilov,1,16,22,0.14597207787845634
383,2021-07-13,0,0,VVL109,Vavilov,1,16,23,0.13662151795445177
